時間戳記,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15
2023/11/3 下午 2:59:35,https://vid2music.github.io/static/videos/survey/tmp/1-3.wav,https://vid2music.github.io/static/videos/survey/tmp/2-5.wav,https://vid2music.github.io/static/videos/survey/tmp/3-4.wav,https://vid2music.github.io/static/videos/survey/tmp/4-4.wav,https://vid2music.github.io/static/videos/survey/tmp/5-3.wav,https://vid2music.github.io/static/videos/survey/tmp/6-2.wav,https://vid2music.github.io/static/videos/survey/tmp/7-4.wav,https://vid2music.github.io/static/videos/survey/tmp/8-5.wav,https://vid2music.github.io/static/videos/survey/tmp/9-1.wav,https://vid2music.github.io/static/videos/survey/tmp/10-2.wav,https://vid2music.github.io/static/videos/survey/tmp/11-2.wav,https://vid2music.github.io/static/videos/survey/tmp/12-3.wav,https://vid2music.github.io/static/videos/survey/tmp/13-3.wav,https://vid2music.github.io/static/videos/survey/tmp/14-5.wav,https://vid2music.github.io/static/videos/survey/tmp/15-2.wav
2023/11/3 下午 3:57:17,https://vid2music.github.io/static/videos/survey/tmp/1-3.wav,https://vid2music.github.io/static/videos/survey/tmp/2-5.wav,https://vid2music.github.io/static/videos/survey/tmp/3-2.wav,https://vid2music.github.io/static/videos/survey/tmp/4-4.wav,https://vid2music.github.io/static/videos/survey/tmp/5-3.wav,https://vid2music.github.io/static/videos/survey/tmp/6-4.wav,https://vid2music.github.io/static/videos/survey/tmp/7-4.wav,https://vid2music.github.io/static/videos/survey/tmp/8-1.wav,https://vid2music.github.io/static/videos/survey/tmp/9-3.wav,https://vid2music.github.io/static/videos/survey/tmp/10-4.wav,https://vid2music.github.io/static/videos/survey/tmp/11-2.wav,https://vid2music.github.io/static/videos/survey/tmp/12-5.wav,https://vid2music.github.io/static/videos/survey/tmp/13-2.wav,https://vid2music.github.io/static/videos/survey/tmp/14-1.wav,https://vid2music.github.io/static/videos/survey/tmp/15-2.wav
2023/11/7 下午 2:27:16,https://vid2music.github.io/static/videos/survey/tmp/1-1.wav,https://vid2music.github.io/static/videos/survey/tmp/2-4.wav,https://vid2music.github.io/static/videos/survey/tmp/3-4.wav,https://vid2music.github.io/static/videos/survey/tmp/4-2.wav,https://vid2music.github.io/static/videos/survey/tmp/5-2.wav,https://vid2music.github.io/static/videos/survey/tmp/6-5.wav,https://vid2music.github.io/static/videos/survey/tmp/7-2.wav,https://vid2music.github.io/static/videos/survey/tmp/8-5.wav,https://vid2music.github.io/static/videos/survey/tmp/9-1.wav,https://vid2music.github.io/static/videos/survey/tmp/10-4.wav,https://vid2music.github.io/static/videos/survey/tmp/11-2.wav,https://vid2music.github.io/static/videos/survey/tmp/12-5.wav,https://vid2music.github.io/static/videos/survey/tmp/13-2.wav,https://vid2music.github.io/static/videos/survey/tmp/14-4.wav,https://vid2music.github.io/static/videos/survey/tmp/15-2.wav
